Numero de components conexes de un graf geometric de num_nodes 10 amb radi R
R;NUM_CC(mitjana)
140.000000;7.100000
141.000000;7.800000
142.000000;8.100000
143.000000;8.500000
144.000000;7.100000
145.000000;6.600000
146.000000;7.700000
147.000000;7.500000
148.000000;7.200000
149.000000;8.000000
150.000000;7.900000
151.000000;7.900000
152.000000;8.000000
153.000000;7.700000
154.000000;7.600000
155.000000;7.500000
156.000000;7.500000
157.000000;6.900000
158.000000;7.400000
159.000000;7.300000
160.000000;6.800000
161.000000;7.200000
162.000000;7.200000
163.000000;7.400000
164.000000;7.400000
165.000000;7.300000
166.000000;6.600000
167.000000;7.100000
168.000000;7.200000
169.000000;6.700000
170.000000;7.500000
171.000000;6.600000
172.000000;7.200000
173.000000;6.700000
174.000000;6.100000
175.000000;7.400000
176.000000;7.000000
177.000000;7.200000
178.000000;7.300000
179.000000;7.100000
180.000000;6.600000
181.000000;8.000000
182.000000;6.500000
183.000000;6.400000
184.000000;6.200000
185.000000;6.100000
186.000000;6.300000
187.000000;6.700000
188.000000;6.500000
189.000000;6.600000
190.000000;7.000000
191.000000;6.600000
192.000000;6.500000
193.000000;6.500000
194.000000;6.100000
195.000000;5.900000
196.000000;6.500000
197.000000;7.000000
198.000000;6.000000
199.000000;6.300000
200.000000;6.200000
201.000000;6.100000
202.000000;6.800000
203.000000;6.400000
204.000000;6.300000
205.000000;5.800000
206.000000;5.600000
207.000000;6.000000
208.000000;6.100000
209.000000;5.900000
210.000000;6.100000
211.000000;6.300000
212.000000;6.500000
213.000000;6.200000
214.000000;5.800000
215.000000;5.700000
216.000000;6.100000
217.000000;5.600000
218.000000;5.600000
219.000000;4.700000
220.000000;5.500000
221.000000;5.200000
222.000000;5.200000
223.000000;5.300000
224.000000;5.700000
225.000000;6.000000
226.000000;5.300000
227.000000;5.500000
228.000000;5.800000
229.000000;5.100000
230.000000;4.800000
231.000000;5.200000
232.000000;5.600000
233.000000;4.900000
234.000000;5.500000
235.000000;5.000000
236.000000;4.200000
237.000000;4.900000
238.000000;4.800000
239.000000;4.800000
240.000000;4.400000
241.000000;4.400000
242.000000;4.500000
243.000000;5.400000
244.000000;5.000000
245.000000;4.600000
246.000000;4.900000
247.000000;4.800000
248.000000;5.600000
249.000000;4.900000
250.000000;4.600000
251.000000;3.600000
252.000000;5.000000
253.000000;4.200000
254.000000;4.600000
255.000000;4.800000
256.000000;4.100000
257.000000;3.900000
258.000000;4.400000
259.000000;3.900000
260.000000;3.600000
261.000000;4.200000
262.000000;4.200000
263.000000;3.900000
264.000000;4.300000
265.000000;4.300000
266.000000;4.300000
267.000000;4.900000
268.000000;4.000000
269.000000;4.300000
270.000000;4.800000
271.000000;3.800000
272.000000;4.300000
273.000000;4.100000
274.000000;3.600000
275.000000;4.500000
276.000000;3.900000
277.000000;3.700000
278.000000;4.200000
279.000000;4.600000
280.000000;3.700000
281.000000;4.100000
282.000000;3.900000
283.000000;4.700000
284.000000;4.200000
285.000000;3.400000
286.000000;3.700000
287.000000;3.800000
288.000000;3.900000
289.000000;3.800000
290.000000;3.800000
291.000000;3.700000
292.000000;3.200000
293.000000;3.300000
294.000000;3.400000
295.000000;3.400000
296.000000;4.100000
297.000000;3.200000
298.000000;3.400000
299.000000;3.200000
300.000000;3.800000
301.000000;3.500000
302.000000;3.500000
303.000000;2.800000
304.000000;3.100000
305.000000;3.500000
306.000000;3.000000
307.000000;3.500000
308.000000;3.100000
309.000000;2.900000
310.000000;3.100000
311.000000;4.400000
312.000000;2.900000
313.000000;2.900000
314.000000;2.900000
315.000000;2.800000
316.000000;3.100000
317.000000;2.700000
318.000000;3.400000
319.000000;3.100000
320.000000;3.000000
321.000000;3.300000
322.000000;3.000000
323.000000;2.900000
324.000000;2.700000
325.000000;3.000000
326.000000;2.900000
327.000000;2.600000
328.000000;3.100000
329.000000;2.700000
330.000000;2.900000
331.000000;3.200000
332.000000;2.900000
333.000000;2.700000
334.000000;2.300000
335.000000;3.400000
336.000000;3.000000
337.000000;2.800000
338.000000;2.300000
339.000000;2.300000
340.000000;3.000000
341.000000;2.600000
342.000000;2.300000
343.000000;3.000000
344.000000;3.000000
345.000000;2.000000
346.000000;2.000000
347.000000;2.400000
348.000000;2.700000
349.000000;2.500000
350.000000;2.600000
351.000000;2.100000
352.000000;2.900000
353.000000;2.600000
354.000000;2.700000
355.000000;2.700000
356.000000;3.000000
357.000000;2.100000
358.000000;2.200000
359.000000;2.500000
360.000000;2.600000
361.000000;2.400000
362.000000;2.000000
363.000000;2.500000
364.000000;2.200000
365.000000;2.000000
366.000000;2.600000
367.000000;2.000000
368.000000;2.300000
369.000000;2.700000
370.000000;2.300000
371.000000;1.700000
372.000000;2.300000
373.000000;2.300000
374.000000;2.700000
375.000000;2.300000
376.000000;2.200000
377.000000;2.300000
378.000000;2.300000
379.000000;1.800000
380.000000;2.300000
381.000000;2.300000
382.000000;1.800000
383.000000;2.100000
384.000000;2.400000
385.000000;1.800000
386.000000;1.600000
387.000000;2.000000
388.000000;1.800000
389.000000;2.600000
390.000000;2.000000
391.000000;1.700000
392.000000;1.800000
393.000000;1.800000
394.000000;1.900000
395.000000;2.000000
396.000000;2.000000
397.000000;1.800000
398.000000;2.200000
399.000000;2.300000
400.000000;2.200000
401.000000;1.200000
402.000000;1.600000
403.000000;2.100000
404.000000;2.100000
405.000000;1.400000
406.000000;2.300000
407.000000;2.400000
408.000000;1.600000
409.000000;1.400000
410.000000;1.700000
411.000000;1.700000
412.000000;1.600000
413.000000;1.900000
414.000000;2.000000
415.000000;1.500000
416.000000;1.700000
417.000000;1.600000
418.000000;1.800000
419.000000;1.500000
420.000000;1.800000
421.000000;1.700000
422.000000;1.500000
423.000000;1.600000
424.000000;1.900000
425.000000;2.200000
426.000000;1.800000
427.000000;1.700000
428.000000;1.400000
429.000000;1.700000
430.000000;1.700000
431.000000;1.600000
432.000000;1.400000
433.000000;1.700000
434.000000;1.700000
435.000000;1.900000
436.000000;1.600000
437.000000;1.500000
438.000000;1.400000
439.000000;1.500000
440.000000;1.300000
441.000000;1.500000
442.000000;1.300000
443.000000;1.900000
444.000000;1.400000
445.000000;1.400000
446.000000;1.400000
447.000000;1.200000
448.000000;1.500000
449.000000;1.900000
450.000000;1.300000
451.000000;1.500000
452.000000;1.600000
453.000000;1.200000
454.000000;1.600000
455.000000;1.400000
456.000000;1.200000
457.000000;1.900000
458.000000;1.300000
459.000000;1.500000
460.000000;1.500000
461.000000;1.300000
462.000000;1.500000
463.000000;1.400000
464.000000;1.300000
465.000000;1.100000
466.000000;1.700000
467.000000;1.400000
468.000000;1.400000
469.000000;1.300000
470.000000;1.300000
471.000000;1.200000
472.000000;1.300000
473.000000;1.800000
474.000000;1.600000
475.000000;1.300000
476.000000;1.100000
477.000000;1.100000
478.000000;1.200000
479.000000;1.300000
480.000000;1.400000
481.000000;1.600000
482.000000;1.200000
483.000000;1.200000
484.000000;1.100000
485.000000;1.000000
486.000000;1.500000
487.000000;1.200000
488.000000;1.200000
489.000000;1.300000
490.000000;1.200000
491.000000;1.400000
492.000000;1.700000
493.000000;1.400000
494.000000;1.300000
495.000000;1.000000
496.000000;1.200000
497.000000;1.400000
498.000000;1.400000
499.000000;1.400000
500.000000;1.500000
501.000000;1.200000
502.000000;1.300000
503.000000;1.200000
504.000000;1.200000
505.000000;1.300000
506.000000;1.000000
507.000000;1.100000
508.000000;1.200000
509.000000;1.400000
510.000000;1.100000
511.000000;1.500000
512.000000;1.200000
513.000000;1.100000
514.000000;1.300000
515.000000;1.100000
516.000000;1.200000
517.000000;1.400000
518.000000;1.100000
519.000000;1.100000
520.000000;1.200000
521.000000;1.200000
522.000000;1.300000
523.000000;1.000000
524.000000;1.200000
525.000000;1.000000
526.000000;1.000000
527.000000;1.000000
528.000000;1.000000
529.000000;1.000000
530.000000;1.000000
531.000000;1.100000
532.000000;1.100000
533.000000;1.400000
534.000000;1.200000
535.000000;1.000000
536.000000;1.100000
537.000000;1.100000
538.000000;1.000000
539.000000;1.100000
540.000000;1.200000
541.000000;1.100000
542.000000;1.100000
543.000000;1.000000
544.000000;1.100000
545.000000;1.100000
546.000000;1.200000
547.000000;1.000000
548.000000;1.100000
549.000000;1.200000
550.000000;1.100000
551.000000;1.100000
552.000000;1.100000
553.000000;1.100000
554.000000;1.000000
555.000000;1.000000
556.000000;1.000000
557.000000;1.000000
558.000000;1.000000
559.000000;1.200000
560.000000;1.000000
561.000000;1.000000
562.000000;1.100000
563.000000;1.100000
564.000000;1.200000
565.000000;1.100000
566.000000;1.200000
567.000000;1.000000
568.000000;1.100000
569.000000;1.100000
570.000000;1.300000
571.000000;1.100000
572.000000;1.100000
573.000000;1.000000
574.000000;1.000000
575.000000;1.100000
576.000000;1.100000
577.000000;1.100000
578.000000;1.200000
579.000000;1.100000
580.000000;1.100000
581.000000;1.000000
582.000000;1.200000
583.000000;1.100000
584.000000;1.000000
585.000000;1.000000
586.000000;1.000000
587.000000;1.100000
588.000000;1.100000
589.000000;1.000000
590.000000;1.000000
591.000000;1.000000
592.000000;1.200000
593.000000;1.100000
594.000000;1.000000
595.000000;1.000000
596.000000;1.000000
597.000000;1.100000
598.000000;1.100000
599.000000;1.000000
600.000000;1.000000
601.000000;1.000000
602.000000;1.000000
603.000000;1.000000
604.000000;1.000000
605.000000;1.100000
606.000000;1.000000
607.000000;1.100000
608.000000;1.000000
609.000000;1.000000
610.000000;1.100000
611.000000;1.000000
612.000000;1.000000
613.000000;1.000000
614.000000;1.100000
615.000000;1.100000
616.000000;1.000000
617.000000;1.100000
618.000000;1.000000
619.000000;1.200000
620.000000;1.000000
621.000000;1.000000
622.000000;1.100000
623.000000;1.200000
624.000000;1.000000
625.000000;1.000000
626.000000;1.000000
627.000000;1.000000
628.000000;1.000000
629.000000;1.100000
630.000000;1.000000
631.000000;1.000000
632.000000;1.000000
633.000000;1.000000
634.000000;1.000000
635.000000;1.000000
636.000000;1.000000
637.000000;1.000000
638.000000;1.000000
639.000000;1.000000
640.000000;1.000000
641.000000;1.000000
642.000000;1.000000
643.000000;1.000000
644.000000;1.000000
645.000000;1.000000
646.000000;1.100000
647.000000;1.000000
648.000000;1.000000
649.000000;1.000000
650.000000;1.000000
651.000000;1.000000
652.000000;1.000000
653.000000;1.000000
654.000000;1.000000
655.000000;1.000000
656.000000;1.000000
657.000000;1.100000
658.000000;1.100000
659.000000;1.000000
660.000000;1.000000
661.000000;1.100000
662.000000;1.000000
663.000000;1.000000
664.000000;1.000000
665.000000;1.000000
666.000000;1.000000
667.000000;1.000000
668.000000;1.000000
669.000000;1.000000
670.000000;1.000000
671.000000;1.000000
672.000000;1.000000
673.000000;1.100000
674.000000;1.000000
675.000000;1.000000
676.000000;1.200000
677.000000;1.000000
678.000000;1.000000
679.000000;1.000000
680.000000;1.100000
681.000000;1.000000
682.000000;1.100000
683.000000;1.000000
684.000000;1.000000
685.000000;1.000000
686.000000;1.000000
687.000000;1.000000
688.000000;1.000000
689.000000;1.000000
690.000000;1.000000
691.000000;1.100000
692.000000;1.000000
693.000000;1.000000
694.000000;1.000000
695.000000;1.000000
696.000000;1.000000
697.000000;1.000000
698.000000;1.000000
699.000000;1.000000
700.000000;1.000000
701.000000;1.000000
702.000000;1.000000
703.000000;1.100000
704.000000;1.000000
705.000000;1.000000
706.000000;1.000000
707.000000;1.100000
708.000000;1.000000
709.000000;1.000000
710.000000;1.000000
711.000000;1.000000
712.000000;1.000000
713.000000;1.000000
714.000000;1.000000
715.000000;1.000000
716.000000;1.000000
717.000000;1.000000
718.000000;1.100000
719.000000;1.000000
720.000000;1.000000
721.000000;1.000000
722.000000;1.000000
723.000000;1.000000
724.000000;1.000000
725.000000;1.000000
726.000000;1.000000
727.000000;1.000000
728.000000;1.000000
729.000000;1.000000
730.000000;1.000000
731.000000;1.000000
732.000000;1.000000
733.000000;1.000000
734.000000;1.000000
735.000000;1.000000
736.000000;1.000000
737.000000;1.000000
738.000000;1.000000
739.000000;1.000000
740.000000;1.000000
741.000000;1.000000
742.000000;1.000000
743.000000;1.000000
744.000000;1.000000
745.000000;1.000000
746.000000;1.000000
747.000000;1.000000
748.000000;1.000000
749.000000;1.000000
750.000000;1.000000
751.000000;1.000000
752.000000;1.000000
753.000000;1.000000
754.000000;1.000000
755.000000;1.000000
756.000000;1.000000
757.000000;1.000000
758.000000;1.000000
759.000000;1.000000
760.000000;1.000000
761.000000;1.000000
762.000000;1.000000
763.000000;1.000000
764.000000;1.000000
765.000000;1.000000
766.000000;1.000000
767.000000;1.000000
768.000000;1.000000
769.000000;1.000000
770.000000;1.100000
771.000000;1.000000
772.000000;1.000000
773.000000;1.000000
774.000000;1.000000
775.000000;1.000000
776.000000;1.000000
777.000000;1.000000
778.000000;1.000000
779.000000;1.000000
780.000000;1.000000
781.000000;1.000000
782.000000;1.000000
783.000000;1.000000
784.000000;1.000000
785.000000;1.000000
786.000000;1.000000
787.000000;1.000000
788.000000;1.000000
789.000000;1.000000
790.000000;1.000000
791.000000;1.000000
792.000000;1.000000
793.000000;1.000000
794.000000;1.000000
795.000000;1.000000
796.000000;1.000000
797.000000;1.000000
798.000000;1.000000
799.000000;1.000000
800.000000;1.000000
